ID;article;nom;genre;unite
agreg.saison;;agreg.saison;;
AMP;l´;AMP;f;
an;l´;année;f;
annee.campagne;l´;année de campagne;f;
autre.statutBA;;autre.statutBA;;
autre.statutBO;;autre.statutBO;;
autre.statutCB;;autre.statutCB;;
autre.statutCR;;autre.statutCR;;
autre.statutMAY;;autre.statutMAY;;
autre.statutNC;;autre.statutNC;;
autre.statutRUN;;autre.statutRUN;;
autre.statutSTM;;autre.statutSTM;;
avant_apres;;avant_apres;;
biomasse;la ;biomasse;f;g.100~m^{-2}
biomasseMax;la ;biomasse maximale;f;g.100~m^{-2}
biomasseSD;l´;écart type de la biomasse;m;
biotope;le ;biotope;m;
biotope_2;le ;biotope 2;m;
caracteristique_1;la ;caracteristique 1;f;
caracteristique_2;la ;caracteristique 2;f;
cas.etude;le ;cas d´étude;m;
Cat_benthique;la ;catégorie benthique;f;
CategB_general;la ;CategB_general;f;
CategB_groupe;la ;CategB_groupe;f;
Changement.sexe;;Changement.sexe;;
Classe;la ;Classe;f;
classe_taille;la ;classe de taille;f;
code_espece;le ;code espèce;m;
CodeFAO;le ;code FAO;m;
CodeFB;le ;code FB;m;
CodeSIH;le ;code SIH;m;
Coeff.a;;Coeff.a;;
Coeff.a.MAY;;Coeff.a.MAY;;
Coeff.a.Med;;Coeff.a.Med;;
Coeff.a.NC;;Coeff.a.NC;;
Coeff.b;;Coeff.b;;
Coeff.b.MAY;;Coeff.b.MAY;;
Coeff.b.Med;;Coeff.b.Med;;
Coeff.b.NC;;Coeff.b.NC;;
colonie;le;nombre de colonies;m;
comportement.grp;le ;comportement de groupe;m;
courant;le ;courant;m;
CPUE;les ;CPUE;fp;indiv.UE^{-1}
CPUEbiomasse;les ;CPUE (biomasse);fp;g.UE^{-1}
cryptique;;cryptique;;
Delta;le ;Delta;m;
DeltaEtoile;le ;Delta*;m;
DeltaPlus;le ;Delta+;m;
densite;la ;densité;f;indiv.100~m^{-2}
densiteMax;la ;densité maximale;f;indiv.100~m^{-2}
densiteSD;l´;écart type de la densité;m;
DimObs1;;DimObs1;;
DimObs2;;DimObs2;;
direction_vent;la ;direction du vent;f;
emblematique;le;statut emblématique;m;
emblematiqueBA;;emblematiqueBA;;
emblematiqueBO;;emblematiqueBO;;
emblematiqueCB;;emblematiqueCB;;
emblematiqueCR;;emblematiqueCR;;
emblematiqueMAY;;emblematiqueMAY;;
emblematiqueNC;;emblematiqueNC;;
emblematiqueRUN;;emblematiqueRUN;;
emblematiqueSTM;;emblematiqueSTM;;
endemique;le;statut endémique;m;
endemiqueBA;;endemiqueBA;;
endemiqueBO;;endemiqueBO;;
endemiqueCB;;endemiqueCB;;
endemiqueCR;;endemiqueCR;;
endemiqueMAY;;endemiqueMAY;;
endemiqueNC;;endemiqueNC;;
endemiqueRUN;;endemiqueRUN;;
endemiqueSTM;;endemiqueSTM;;
espece;l´;espèce;f;
etat_mer;l´;état de la mer;m;
etat.pop.local;l´;état de la population;;
etat.pop.localBA;;etat.pop.localBA;;
etat.pop.localBO;;etat.pop.localBO;;
etat.pop.localCB;;etat.pop.localCB;;
etat.pop.localCR;;etat.pop.localCR;;
etat.pop.localMAY;;etat.pop.localMAY;;
etat.pop.localNC;;etat.pop.localNC;;
etat.pop.localRUN;;etat.pop.localRUN;;
etat.pop.localSTM;;etat.pop.localSTM;;
Famille;la ;Famille;f;
force_vent;la ;force du vent;f;
fraction_echantillonnee;la ;fraction échantillonnée;f;
freq.occurrence;la ;fréquence d´occurrence;f;'%'
Genre;le ;Genre;m;
GrSIH;le ;Groupe SIH;m;
Habitat.Prefere;l´;habitat préféré;m;
habitat1;l´;habitat1;m;
habitat2;l´;habitat2;m;
habitat3;l´;habitat3;m;
heure;l´;heure;f;
hill;l´;indice de Hill;m;
Identifiant;l´;identifiant;m;
interet.casier;l´;intérêt pour la pêche au casier;m;
interet.casierBA;;interet.casierBA;;
interet.casierBO;;interet.casierBO;;
interet.casierCB;;interet.casierCB;;
interet.casierCR;;interet.casierCR;;
interet.casierMAY;;interet.casierMAY;;
interet.casierNC;;interet.casierNC;;
interet.casierRUN;;interet.casierRUN;;
interet.casierSTM;;interet.casierSTM;;
interet.chasse;l´;intérêt pour la chasse;m;
interet.chasseBA;;interet.chasseBA;;
interet.chasseBO;;interet.chasseBO;;
interet.chasseCB;;interet.chasseCB;;
interet.chasseCR;;interet.chasseCR;;
interet.chasseMAY;;interet.chasseMAY;;
interet.chasseNC;;interet.chasseNC;;
interet.chasseRUN;;interet.chasseRUN;;
interet.chasseSTM;;interet.chasseSTM;;
interet.filet;l´;intérêt pour la pêche au filet;m;
interet.filetBA;;interet.filetBA;;
interet.filetBO;;interet.filetBO;;
interet.filetCB;;interet.filetCB;;
interet.filetCR;;interet.filetCR;;
interet.filetMAY;;interet.filetMAY;;
interet.filetNC;;interet.filetNC;;
interet.filetRUN;;interet.filetRUN;;
interet.filetSTM;;interet.filetSTM;;
interet.ligne;l´;intérêt pour la pêche à la ligne;m;
interet.ligneBA;;interet.ligneBA;;
interet.ligneBO;;interet.ligneBO;;
interet.ligneCB;;interet.ligneCB;;
interet.ligneCR;;interet.ligneCR;;
interet.ligneMAY;;interet.ligneMAY;;
interet.ligneNC;;interet.ligneNC;;
interet.ligneRUN;;interet.ligneRUN;;
interet.ligneSTM;;interet.ligneSTM;;
interet.pied;l´;intérêt pour la pêche à pied;m;
interet.piedBA;;interet.piedBA;;
interet.piedBO;;interet.piedBO;;
interet.piedCB;;interet.piedCB;;
interet.piedCR;;interet.piedCR;;
interet.piedMAY;;interet.piedMAY;;
interet.piedNC;;interet.piedNC;;
interet.piedRUN;;interet.piedRUN;;
interet.piedSTM;;interet.piedSTM;;
interetComMAY;;interetComMAY;;
interetCommercial;l´;intérêt commercial;m;
IssCaap;;IssCaap;;
jour;le ;jour;m;
l.simpson;le ;l de Simpson;m;
L50;la ;L50;f;
LambdaPlus;le ;Lambda+;m;
latitude;la ;latitude;f;
longitude;la ;longitude;f;
maree;la ;marée;f;
mobilite;la ;mobilité;f;
mois;le ;mois;m;
nb_plong;le ;nombre de plongeurs;m;
nebulosite;la ;nébulosité;f;
niveau.a.et.b;;niveau.a.et.b;;
niveau.a.et.b.MAY;;niveau.a.et.b.MAY;;
niveau.a.et.b.MED;;niveau.a.et.b.MED;;
niveau.a.et.b.NC;;niveau.a.et.b.NC;;
nocturne;;nocturne;;
nombre;le ;nombre;m;indiv
nombreMax;le ;nombre maximum;m;indiv
nombreSD;l´;écart type du nombre;m;
ObsBA;;ObsBA;;
ObsBO;;ObsBO;;
ObsCB;;ObsCB;;
ObsCR;;ObsCR;;
Observee;;Observee;;
ObsMAY;;ObsMAY;;
ObsNC;;ObsNC;;
ObsRUN;;ObsRUN;;
ObsSTM;;ObsSTM;;
Ordre;;Ordre;;
phase_lunaire;la ;phase lunaire;f;
Phylum;le ;Phylum;m;
pielou;l´;indice de Pielou;m;
plongeur;le ;plongeur;m;
poids;le ;poids;m;g
poids_moyen;le ;poids moyen;m;g
poids.moyen.gros;le ;poids moyen des gros;m;
poids.moyen.moyens;le ;poids moyen des moyens;m;
poids.moyen.petits;le ;poids moyen des petits;m;
position.col.eau;la ;position dans la colone d´eau;f;
pres_abs;les ;présences/absence;fp;
prof_max;la ;profondeur maximale;f;
prof_min;la ;profondeur minimale;f;
prop.abondance.CL;les ;proportions d´abondances par classe de taille;fp;'%'
prop.biomasse.CL;les ;proportions de biomasse par classe de taille;fp;'%'
recouvrement;le ;recouvrement;m;'%'
regim.alim;le ;régime alimentaire;m;
richesse_specifique;la ;richesse specifique;f;
RS_relative;la ;richesse spécifique relative;f;
RS.relative.donnees;la ;richesse spécifique relative (/ esp. des données);f;'%'
RS.relative.region;la ;richesse spécifique relative (/ esp. de la région);f;'%'
RS.relative.region.phylum;la ;richesse spécifique relative (/ esp. de la région et du phylum);f;'%'
RS.relative.site;la ;richesse spécifique relative (/ espèces du site);f;'%'
RS.relative.site.phylum;la ;richesse spécifique relative (/ esp. du site et phylum);f;'%'
SDeltaPlus;le ;SDelta+;m;
simpson;l´;indice de Simpson;m;
site;le ;site;m;
stat.IUCN;le ;statut IUCN;m;
station;la ;station;f;
statut_protection;le ;statut de protection;m;
strategie.demo;la ;strategie demographique;f;
taille_max_moyens;la ;taille max des moyens;f;cm
taille_max_petits;la ;taille max des petits;f;cm
taille_moy;la ;taille moyenne;f;cm
taille_moyenne;la ;taille moyenne;f;cm
taille.moy.colonies;la ;taille moyenne des colonies;f;cm
taillemax;la ;taille maximale;f;cm
TaxoCode;;TaxoCode;;
territorial;;territorial;;
type;;type;;
Type.ponte;le ;type de ponte;m;
unite_observation;l´;unité d´observation;f;
visibilite;la ;visibilité;f;
